Pickup Area,Dropoff Area,Pickup Governorate,Dropoff Governorate,Pickup Time,Day of Week,Hour of Day,Trip Duration (min),Trip Distance (km),Fare per km (EGP),Fare (EGP),Service Type,Payment Method,Driver Rating
10th of Ramadan,Nasr City,Sharqia,Cairo,2024-06-19 16:44:00,Wednesday,16,47.17,23.28,3.003171369968496,69.91,Uber Comfort,Cash,4.8
Maadi,Ain Shams,Cairo,Cairo,2024-06-22 16:26:00,Saturday,16,43.41,16.8,5.201866956396044,87.39,Uber Scooter,Wallet,4.4
Nasr City,Sheikh Zayed,Cairo,Giza,2024-06-06 13:04:00,Thursday,13,41.91,29.48,4.0245688478730575,118.64,Uber Scooter,Credit Card,4.6
Sheikh Zayed,Rehab,Giza,Cairo,2024-06-29 23:19:00,Saturday,23,44.25,25.78,3.9948222680791714,102.99,Uber Scooter,Cash,4.1
Maadi,Faisal,Cairo,Giza,2024-06-29 09:03:00,Saturday,9,24.53,15.64,4.360710630691214,68.2,Uber Bus,Wallet,3.6
New Cairo,Obour,Cairo,Qalyubia,2024-06-16 06:45:00,Sunday,6,16.56,6.73,4.292421887778161,28.89,UberX,Wallet,4.9
Nasr City,Mohandessin,Cairo,Giza,2024-06-27 07:57:00,Thursday,7,64.72,28.76,3.053231953095613,87.81,Uber Comfort,Cash,4.5
Downtown,Ain Shams,Cairo,Cairo,2024-06-14 05:16:00,Friday,5,16.8,7.51,4.957149375695339,37.23,Uber Bus,Credit Card,3.8
Downtown,New Cairo,Cairo,Cairo,2024-06-24 07:38:00,Monday,7,38.12,15.68,3.441922075448708,53.97,UberX,Wallet,4.4
10th of Ramadan,Sheikh Zayed,Sharqia,Giza,2024-06-21 19:29:00,Friday,19,33.18,14.56,3.810617689190309,55.48,Uber Scooter,Credit Card,4.1
Mohandessin,6th October,Giza,Giza,2024-06-04 18:03:00,Tuesday,18,47.03,25.07,5.259320606799985,131.85,Uber Scooter,Wallet,4.7
Maadi,Ain Shams,Cairo,Cairo,2024-06-13 18:35:00,Thursday,18,50.45,17.67,4.737522542223543,83.71,Uber Comfort,Wallet,4.1
Heliopolis,New Cairo,Cairo,Cairo,2024-06-10 10:55:00,Monday,10,7.75,3.28,4.75393236601345,15.59,UberX,Credit Card,3.9
Nasr City,Shubra,Cairo,Cairo,2024-06-04 02:08:00,Tuesday,2,31.66,16.0,5.252757397184753,84.04,Uber Comfort,Cash,3.8
Shorouk,10th of Ramadan,Cairo,Sharqia,2024-06-10 08:23:00,Monday,8,59.26,27.92,4.919690390185046,137.36,UberX,Cash,3.6
Sheikh Zayed,Maadi,Giza,Cairo,2024-06-07 21:38:00,Friday,21,35.99,23.92,3.555115994806132,85.04,Uber Bus,Credit Card,4.9
Haram,Obour,Giza,Qalyubia,2024-06-24 07:19:00,Monday,7,51.8,24.21,5.13276440170425,124.26,Uber Comfort,Cash,4.6
Nasr City,6th October,Cairo,Giza,2024-06-01 11:31:00,Saturday,11,66.79,25.22,4.173679376428045,105.26,UberX,Wallet,4.6
Heliopolis,Ain Shams,Cairo,Cairo,2024-06-05 22:41:00,Wednesday,22,16.8,10.65,3.31969710196844,35.35,Uber Bus,Credit Card,4.0
Obour,Mohandessin,Qalyubia,Giza,2024-06-20 19:43:00,Thursday,19,47.38,19.16,3.472715471258116,66.54,Uber Scooter,Credit Card,4.3
10th of Ramadan,Dokki,Sharqia,Giza,2024-06-11 15:51:00,Tuesday,15,29.48,20.27,4.4933766393872805,91.08,Uber Bus,Cash,4.2
Ain Shams,Shubra,Cairo,Cairo,2024-06-14 06:31:00,Friday,6,53.03,22.56,3.447857501313337,77.78,Uber Bus,Wallet,4.3
Mohandessin,Rehab,Giza,Cairo,2024-06-28 05:55:00,Friday,5,41.0,22.95,3.6591325398378425,83.98,Uber Comfort,Credit Card,3.7
Maadi,Nasr City,Cairo,Cairo,2024-06-16 23:37:00,Sunday,23,42.18,20.9,5.03254396626243,105.18,Uber Scooter,Credit Card,3.8
6th October,Zamalek,Giza,Cairo,2024-06-16 23:47:00,Sunday,23,29.31,18.51,3.193806097098342,59.12,UberX,Credit Card,4.2
Maadi,Obour,Cairo,Qalyubia,2024-06-06 05:22:00,Thursday,5,34.0,22.2,5.086140230034489,112.91,Uber Scooter,Wallet,4.9
Ain Shams,New Cairo,Cairo,Cairo,2024-06-08 07:50:00,Saturday,7,22.96,16.28,3.7548199225494976,61.13,Uber Bus,Wallet,4.9
Obour,Dokki,Qalyubia,Giza,2024-06-22 10:09:00,Saturday,10,48.96,21.06,5.028414006037125,105.9,Uber Comfort,Wallet,3.9
Obour,Fifth Settlement,Qalyubia,Cairo,2024-06-25 12:31:00,Tuesday,12,14.99,10.27,4.4325740122289385,45.52,UberX,Wallet,4.0
Sheikh Zayed,Nasr City,Giza,Cairo,2024-06-21 23:57:00,Friday,23,39.71,26.18,3.591400616465289,94.02,Uber Comfort,Credit Card,4.6
Maadi,Shorouk,Cairo,Cairo,2024-06-27 01:06:00,Thursday,1,23.43,16.88,5.474820090263921,92.41,UberX,Wallet,3.5
Faisal,6th October,Giza,Giza,2024-06-22 05:17:00,Saturday,5,35.75,19.61,3.045145491904921,59.72,Uber Scooter,Cash,3.6
Mohandessin,6th October,Giza,Giza,2024-06-17 23:38:00,Monday,23,31.46,12.42,3.483102032034168,43.26,Uber Comfort,Cash,3.7
Rehab,Faisal,Cairo,Giza,2024-06-08 14:21:00,Saturday,14,10.96,7.28,4.989249837454388,36.32,Uber Scooter,Wallet,4.3
Shubra,Fifth Settlement,Cairo,Cairo,2024-06-09 09:38:00,Sunday,9,4.74,3.12,3.749208450920992,11.7,Uber Scooter,Wallet,4.4
New Cairo,6th October,Cairo,Giza,2024-06-13 17:35:00,Thursday,17,62.56,25.52,3.468385224233964,88.51,Uber Scooter,Credit Card,3.8
Shorouk,Dokki,Cairo,Giza,2024-06-01 07:14:00,Saturday,7,47.08,25.37,5.372118888469922,136.29,UberX,Wallet,3.6
Nasr City,Faisal,Cairo,Giza,2024-06-11 22:12:00,Tuesday,22,8.46,6.32,4.970630298738775,31.41,Uber Scooter,Wallet,3.9
6th October,Zamalek,Giza,Cairo,2024-06-13 17:43:00,Thursday,17,16.96,5.73,3.8529061954645822,22.08,Uber Scooter,Credit Card,4.1
Rehab,6th October,Cairo,Giza,2024-06-10 13:35:00,Monday,13,21.18,14.52,4.696851828778508,68.2,Uber Scooter,Cash,4.1
Dokki,Obour,Giza,Qalyubia,2024-06-23 10:58:00,Sunday,10,21.31,14.54,5.02881937357783,73.12,Uber Comfort,Wallet,3.6
Shorouk,Fifth Settlement,Cairo,Cairo,2024-06-10 19:09:00,Monday,19,31.91,15.65,5.490972107064467,85.93,Uber Bus,Wallet,4.4
10th of Ramadan,Shorouk,Sharqia,Cairo,2024-06-15 21:03:00,Saturday,21,35.49,19.79,4.353808763845107,86.16,Uber Comfort,Credit Card,3.8
Fifth Settlement,Mohandessin,Cairo,Giza,2024-06-10 09:16:00,Monday,9,50.13,20.05,3.3860780304847795,67.89,Uber Scooter,Cash,4.6
Fifth Settlement,Faisal,Cairo,Giza,2024-06-09 15:23:00,Sunday,15,19.16,9.03,4.38167750189127,39.57,Uber Bus,Cash,4.3
Haram,Mohandessin,Giza,Giza,2024-06-26 21:15:00,Wednesday,21,40.43,16.34,4.360915467131383,71.26,Uber Scooter,Credit Card,3.8
New Cairo,Shorouk,Cairo,Cairo,2024-06-23 11:21:00,Sunday,11,30.42,22.78,3.3611420085684767,76.57,UberX,Wallet,4.9
New Cairo,Mohandessin,Cairo,Giza,2024-06-16 02:09:00,Sunday,2,5.78,3.76,3.1358321335939165,11.79,UberX,Wallet,4.9
Faisal,Shubra,Giza,Cairo,2024-06-27 09:25:00,Thursday,9,18.53,8.48,4.028710560290685,34.16,UberX,Wallet,3.9
Rehab,New Cairo,Cairo,Cairo,2024-06-10 12:01:00,Monday,12,19.2,8.23,4.751982110273064,39.11,Uber Scooter,Credit Card,3.7
Shorouk,New Cairo,Cairo,Cairo,2024-06-29 22:46:00,Saturday,22,34.53,22.86,3.913499008210564,89.46,UberX,Wallet,4.9
10th of Ramadan,Nasr City,Sharqia,Cairo,2024-06-25 11:16:00,Tuesday,11,9.25,5.56,3.3517528393832627,18.64,UberX,Cash,4.7
Shorouk,Heliopolis,Cairo,Cairo,2024-06-09 05:56:00,Sunday,5,59.47,21.79,4.998683515731837,108.92,Uber Comfort,Wallet,4.9
6th October,Dokki,Giza,Giza,2024-06-04 22:39:00,Tuesday,22,27.18,11.09,3.8499777893390266,42.7,UberX,Credit Card,3.6
Nasr City,6th October,Cairo,Giza,2024-06-28 08:39:00,Friday,8,35.28,16.78,4.762693976905454,79.92,UberX,Cash,4.9
Nasr City,Shorouk,Cairo,Cairo,2024-06-08 10:43:00,Saturday,10,26.23,16.71,4.258987862672969,71.17,Uber Bus,Credit Card,3.6
Haram,Rehab,Giza,Cairo,2024-06-28 22:00:00,Friday,22,42.12,24.42,5.039770882426419,123.07,Uber Scooter,Cash,3.8
Rehab,Ain Shams,Cairo,Cairo,2024-06-10 00:54:00,Monday,0,43.24,25.45,4.019645721014338,102.3,Uber Comfort,Cash,4.8
Zamalek,Maadi,Cairo,Cairo,2024-06-19 13:19:00,Wednesday,13,64.93,25.53,5.453818833917575,139.24,Uber Comfort,Credit Card,4.2
Rehab,10th of Ramadan,Cairo,Sharqia,2024-06-22 15:58:00,Saturday,15,22.59,16.85,4.493659180622549,75.72,UberX,Wallet,4.7
Ain Shams,6th October,Cairo,Giza,2024-06-24 08:52:00,Monday,8,35.11,17.87,3.417450083242499,61.07,Uber Scooter,Credit Card,4.5
New Cairo,Mohandessin,Cairo,Giza,2024-06-14 00:46:00,Friday,0,26.05,18.63,4.484489010266784,83.55,UberX,Wallet,4.2
6th October,Ain Shams,Giza,Cairo,2024-06-06 18:47:00,Thursday,18,51.22,27.43,4.993162298226935,136.96,Uber Comfort,Wallet,3.7
Dokki,Ain Shams,Giza,Cairo,2024-06-17 05:19:00,Monday,5,63.29,23.56,5.397225003312579,127.16,UberX,Credit Card,3.5
Maadi,Sheikh Zayed,Cairo,Giza,2024-06-04 04:39:00,Tuesday,4,5.84,4.07,5.293677360581611,21.55,Uber Scooter,Credit Card,3.7
Maadi,Downtown,Cairo,Cairo,2024-06-24 16:57:00,Monday,16,41.22,23.01,3.3775477499886697,77.72,Uber Scooter,Cash,4.3
Haram,Nasr City,Giza,Cairo,2024-06-13 01:41:00,Thursday,1,16.03,7.12,3.9037023952017895,27.79,UberX,Credit Card,4.0
Zamalek,Rehab,Cairo,Cairo,2024-06-09 01:38:00,Sunday,1,17.34,5.79,5.250939252253046,30.4,Uber Comfort,Wallet,4.4
Dokki,Mohandessin,Giza,Giza,2024-06-16 01:24:00,Sunday,1,26.8,18.25,4.36973344029409,79.75,Uber Scooter,Cash,3.5
Nasr City,Dokki,Cairo,Giza,2024-06-08 12:35:00,Saturday,12,52.25,21.68,3.1825010246219034,69.0,Uber Scooter,Wallet,4.5
Maadi,Heliopolis,Cairo,Cairo,2024-06-10 17:22:00,Monday,17,19.74,13.29,3.937693466173595,52.33,Uber Scooter,Credit Card,3.6
Haram,Mohandessin,Giza,Giza,2024-06-15 22:35:00,Saturday,22,21.45,13.67,3.19093266759961,43.62,UberX,Wallet,3.5
Sheikh Zayed,Shubra,Giza,Cairo,2024-06-16 08:53:00,Sunday,8,21.46,13.52,4.380078486644346,59.22,Uber Bus,Cash,4.7
6th October,Downtown,Giza,Cairo,2024-06-08 13:49:00,Saturday,13,24.73,11.65,3.0753393180157405,35.83,Uber Scooter,Wallet,4.6
Downtown,Dokki,Cairo,Giza,2024-06-07 01:04:00,Friday,1,37.72,18.19,3.9460623901072207,71.78,UberX,Credit Card,3.9
10th of Ramadan,Maadi,Sharqia,Cairo,2024-06-07 05:20:00,Friday,5,16.5,8.22,3.61501703931851,29.72,Uber Comfort,Wallet,4.3
Dokki,Maadi,Giza,Cairo,2024-06-12 00:15:00,Wednesday,0,47.39,28.82,4.450325818764258,128.26,UberX,Wallet,4.8
Dokki,Maadi,Giza,Cairo,2024-06-10 04:06:00,Monday,4,14.46,8.27,5.187138729292452,42.9,Uber Scooter,Wallet,4.9
6th October,Faisal,Giza,Giza,2024-06-23 06:18:00,Sunday,6,15.03,7.85,4.741066959107049,37.22,Uber Bus,Credit Card,4.1
Dokki,Heliopolis,Giza,Cairo,2024-06-19 05:13:00,Wednesday,5,21.12,9.32,5.226791341909665,48.71,UberX,Cash,4.2
Shubra,Nasr City,Cairo,Cairo,2024-06-05 10:00:00,Wednesday,10,56.56,22.34,4.753693563800475,106.2,Uber Bus,Wallet,3.8
10th of Ramadan,Dokki,Sharqia,Giza,2024-06-13 12:15:00,Thursday,12,50.85,17.97,3.389812986710287,60.91,Uber Bus,Credit Card,4.7
Heliopolis,Nasr City,Cairo,Cairo,2024-06-14 22:34:00,Friday,22,41.53,13.92,3.0878226415250234,42.98,Uber Scooter,Cash,5.0
Faisal,Haram,Giza,Giza,2024-06-17 22:41:00,Monday,22,25.92,19.39,5.084051054035706,98.58,Uber Bus,Cash,4.7
Nasr City,Dokki,Cairo,Giza,2024-06-28 20:46:00,Friday,20,25.49,14.44,3.8014870049835023,54.89,Uber Bus,Cash,4.7
Mohandessin,Zamalek,Giza,Cairo,2024-06-05 08:03:00,Wednesday,8,26.28,15.12,5.033687517454091,76.11,Uber Bus,Credit Card,4.6
Zamalek,Dokki,Cairo,Giza,2024-06-21 01:16:00,Friday,1,26.16,12.7,5.438747604451855,69.07,Uber Comfort,Wallet,4.5
Fifth Settlement,Maadi,Cairo,Cairo,2024-06-30 01:38:00,Sunday,1,28.03,20.42,3.6400486086700177,74.33,Uber Bus,Credit Card,4.6
Downtown,Faisal,Cairo,Giza,2024-06-16 10:27:00,Sunday,10,24.03,10.71,5.458720913261056,58.46,Uber Scooter,Wallet,4.2
Dokki,Nasr City,Giza,Cairo,2024-06-10 19:10:00,Monday,19,31.85,12.83,4.534484661977747,58.18,Uber Scooter,Cash,4.9
Ain Shams,Heliopolis,Cairo,Cairo,2024-06-16 06:53:00,Sunday,6,33.81,22.59,3.19590689755096,72.2,Uber Scooter,Wallet,3.6
Nasr City,Maadi,Cairo,Cairo,2024-06-10 02:05:00,Monday,2,6.83,2.79,4.0285370626885655,11.24,Uber Scooter,Credit Card,4.7
Obour,Dokki,Qalyubia,Giza,2024-06-30 13:47:00,Sunday,13,53.34,25.5,3.1923871373825072,81.41,Uber Comfort,Credit Card,4.7
Dokki,Downtown,Giza,Cairo,2024-06-24 02:52:00,Monday,2,40.57,22.78,4.104255491195586,93.49,Uber Comfort,Cash,4.7
New Cairo,Fifth Settlement,Cairo,Cairo,2024-06-23 09:18:00,Sunday,9,24.29,11.44,4.101877033767398,46.93,Uber Bus,Wallet,4.9
Maadi,Heliopolis,Cairo,Cairo,2024-06-26 13:31:00,Wednesday,13,49.51,21.51,4.489004045011679,96.56,Uber Bus,Wallet,4.5
Downtown,Zamalek,Cairo,Cairo,2024-06-26 22:03:00,Wednesday,22,27.47,12.11,3.1721727927939134,38.42,Uber Bus,Cash,3.7
Dokki,Zamalek,Giza,Cairo,2024-06-06 16:59:00,Thursday,16,9.35,6.51,5.482544642259342,35.69,Uber Scooter,Wallet,4.9
Dokki,10th of Ramadan,Giza,Sharqia,2024-06-29 13:36:00,Saturday,13,39.89,29.13,3.185063859536498,92.78,Uber Bus,Credit Card,4.0
Dokki,Mohandessin,Giza,Giza,2024-06-02 05:53:00,Sunday,5,35.9,23.07,3.820319532488252,88.13,Uber Bus,Cash,4.2
Ain Shams,Shorouk,Cairo,Cairo,2024-06-24 11:01:00,Monday,11,37.88,22.81,4.449154877083494,101.49,UberX,Wallet,3.6
Dokki,Maadi,Giza,Cairo,2024-06-28 19:34:00,Friday,19,19.83,7.57,4.307270124442937,32.61,Uber Bus,Wallet,4.8
Ain Shams,Heliopolis,Cairo,Cairo,2024-06-15 09:35:00,Saturday,9,34.45,24.84,5.294602969593475,131.52,Uber Comfort,Credit Card,4.9
Fifth Settlement,6th October,Cairo,Giza,2024-06-09 18:57:00,Sunday,18,37.01,18.9,4.919329154062758,92.98,Uber Comfort,Credit Card,3.7
Ain Shams,Shubra,Cairo,Cairo,2024-06-16 18:24:00,Sunday,18,59.47,23.76,4.900996107128708,116.45,Uber Comfort,Credit Card,3.5
Nasr City,Ain Shams,Cairo,Cairo,2024-06-08 14:24:00,Saturday,14,29.66,19.32,3.577448207697763,69.12,UberX,Cash,4.7
Fifth Settlement,Rehab,Cairo,Cairo,2024-06-18 12:00:00,Tuesday,12,30.82,19.91,5.165599817586586,102.85,Uber Scooter,Credit Card,3.8
New Cairo,Shubra,Cairo,Cairo,2024-06-17 14:57:00,Monday,14,9.83,4.63,4.102233558881029,18.99,Uber Scooter,Cash,4.0
Haram,Ain Shams,Giza,Cairo,2024-06-27 10:54:00,Thursday,10,21.82,13.72,5.257392312868916,72.13,Uber Bus,Cash,4.1
10th of Ramadan,Rehab,Sharqia,Cairo,2024-06-09 20:30:00,Sunday,20,9.02,5.67,5.001442423007024,28.36,Uber Comfort,Wallet,4.5
Sheikh Zayed,Fifth Settlement,Giza,Cairo,2024-06-02 12:07:00,Sunday,12,6.61,2.31,5.227017141952622,12.07,UberX,Credit Card,3.9
Heliopolis,Obour,Cairo,Qalyubia,2024-06-04 18:24:00,Tuesday,18,20.7,15.38,4.2752598038772405,65.75,Uber Scooter,Credit Card,4.9
Zamalek,New Cairo,Cairo,Cairo,2024-06-27 21:11:00,Thursday,21,39.48,26.34,5.166518971112931,136.09,Uber Comfort,Cash,4.1
Nasr City,Sheikh Zayed,Cairo,Giza,2024-06-27 07:06:00,Thursday,7,67.64,27.56,4.2749007128488135,117.82,Uber Comfort,Cash,5.0
Dokki,Heliopolis,Giza,Cairo,2024-06-10 10:47:00,Monday,10,28.56,17.94,4.496656429314865,80.67,Uber Bus,Cash,3.5
Heliopolis,Downtown,Cairo,Cairo,2024-06-16 07:36:00,Sunday,7,23.43,9.61,3.934976573874541,37.82,UberX,Wallet,4.4
Haram,Rehab,Giza,Cairo,2024-06-03 06:19:00,Monday,6,15.4,11.16,5.306353484431121,59.22,Uber Scooter,Credit Card,4.4
6th October,Dokki,Giza,Giza,2024-06-16 18:47:00,Sunday,18,8.47,5.47,3.251919725060388,17.79,Uber Scooter,Wallet,3.7
Shorouk,Rehab,Cairo,Cairo,2024-06-12 03:37:00,Wednesday,3,35.18,16.84,3.1690063414875422,53.37,Uber Bus,Credit Card,4.8
Shubra,Sheikh Zayed,Cairo,Giza,2024-06-16 09:12:00,Sunday,9,63.08,22.16,4.380880494867402,97.08,UberX,Wallet,4.3
6th October,Nasr City,Giza,Cairo,2024-06-25 15:51:00,Tuesday,15,84.58,29.56,3.548424745593083,104.89,Uber Comfort,Wallet,4.8
Downtown,Sheikh Zayed,Cairo,Giza,2024-06-01 13:32:00,Saturday,13,51.82,29.64,4.68386265045803,138.83,Uber Bus,Credit Card,4.8
Downtown,Dokki,Cairo,Giza,2024-06-10 06:16:00,Monday,6,39.38,21.79,5.347279946340526,116.52,Uber Comfort,Wallet,3.9
10th of Ramadan,Dokki,Sharqia,Giza,2024-06-27 04:55:00,Thursday,4,30.66,16.37,5.030073976714552,82.34,UberX,Wallet,4.9
Shorouk,Rehab,Cairo,Cairo,2024-06-13 17:21:00,Thursday,17,15.24,7.32,3.680472247872072,26.94,Uber Comfort,Credit Card,4.1
Maadi,New Cairo,Cairo,Cairo,2024-06-11 21:10:00,Tuesday,21,49.69,28.51,3.0798494918602577,87.81,UberX,Wallet,4.1
Faisal,Shorouk,Giza,Cairo,2024-06-17 13:32:00,Monday,13,52.19,25.72,4.9855205013222985,128.23,Uber Comfort,Wallet,4.6
Faisal,6th October,Giza,Giza,2024-06-25 21:53:00,Tuesday,21,4.42,2.34,5.474111569160881,12.81,Uber Bus,Cash,3.7
Maadi,Nasr City,Cairo,Cairo,2024-06-23 19:08:00,Sunday,19,11.73,6.27,4.664854404998476,29.25,UberX,Wallet,3.6
10th of Ramadan,Faisal,Sharqia,Giza,2024-06-29 04:52:00,Saturday,4,29.01,12.74,4.180621417184662,53.26,Uber Comfort,Wallet,4.9
Mohandessin,Fifth Settlement,Giza,Cairo,2024-06-09 00:14:00,Sunday,0,7.17,2.59,5.297791828564886,13.72,Uber Bus,Credit Card,4.5
Fifth Settlement,Obour,Cairo,Qalyubia,2024-06-13 20:21:00,Thursday,20,17.23,9.95,5.192838798974112,51.67,Uber Bus,Wallet,4.5
Fifth Settlement,Shorouk,Cairo,Cairo,2024-06-06 18:08:00,Thursday,18,4.01,2.01,5.204987261108665,10.46,UberX,Credit Card,3.6
Zamalek,Obour,Cairo,Qalyubia,2024-06-29 15:54:00,Saturday,15,27.43,14.86,3.734063139615535,55.49,Uber Scooter,Wallet,3.7
Obour,Rehab,Qalyubia,Cairo,2024-06-13 20:00:00,Thursday,20,15.05,9.31,3.3305354865535137,31.01,Uber Scooter,Cash,4.7
Mohandessin,Downtown,Giza,Cairo,2024-06-11 18:44:00,Tuesday,18,50.92,24.36,4.997967790016343,121.75,Uber Comfort,Cash,4.9
Fifth Settlement,Sheikh Zayed,Cairo,Giza,2024-06-19 20:26:00,Wednesday,20,42.41,27.88,3.738237842021869,104.22,UberX,Cash,4.6
Mohandessin,Dokki,Giza,Giza,2024-06-18 20:20:00,Tuesday,20,33.55,18.21,3.281088977421208,59.75,Uber Bus,Wallet,4.6
Mohandessin,Downtown,Giza,Cairo,2024-06-21 13:08:00,Friday,13,45.11,15.77,4.109444848672514,64.81,Uber Bus,Wallet,4.2
Sheikh Zayed,Mohandessin,Giza,Giza,2024-06-07 22:17:00,Friday,22,35.51,22.42,4.044138063088194,90.67,Uber Comfort,Wallet,3.6
Rehab,Mohandessin,Cairo,Giza,2024-06-18 00:29:00,Tuesday,0,39.21,28.88,3.626562842871976,104.74,Uber Comfort,Cash,3.5
Zamalek,Dokki,Cairo,Giza,2024-06-08 23:05:00,Saturday,23,56.79,26.2,4.881477974668815,127.89,Uber Bus,Credit Card,4.2
Heliopolis,New Cairo,Cairo,Cairo,2024-06-16 21:05:00,Sunday,21,48.17,28.8,4.467489305445497,128.66,Uber Scooter,Wallet,4.0
Sheikh Zayed,Haram,Giza,Giza,2024-06-03 09:42:00,Monday,9,22.86,12.65,5.039231507327668,63.75,Uber Scooter,Wallet,4.5
Ain Shams,Heliopolis,Cairo,Cairo,2024-06-13 00:15:00,Thursday,0,18.08,11.19,5.392499652703384,60.34,Uber Comfort,Cash,4.0
Rehab,Zamalek,Cairo,Cairo,2024-06-03 01:25:00,Monday,1,24.06,8.41,3.655730451740295,30.74,Uber Bus,Credit Card,4.3
Heliopolis,Dokki,Cairo,Giza,2024-06-09 01:46:00,Sunday,1,37.65,24.11,3.3984513619346366,81.94,UberX,Credit Card,4.3
Dokki,Faisal,Giza,Giza,2024-06-25 05:29:00,Tuesday,5,33.42,23.79,4.814851623733224,114.55,Uber Scooter,Credit Card,4.2
Downtown,Faisal,Cairo,Giza,2024-06-14 04:59:00,Friday,4,45.25,26.44,4.103334660997614,108.49,UberX,Cash,4.9
Ain Shams,6th October,Cairo,Giza,2024-06-09 11:36:00,Sunday,11,27.75,12.89,4.155314662853778,53.56,UberX,Wallet,3.8
Nasr City,Sheikh Zayed,Cairo,Giza,2024-06-06 00:44:00,Thursday,0,15.4,10.14,3.6505504466969407,37.02,Uber Scooter,Wallet,4.3
Nasr City,Ain Shams,Cairo,Cairo,2024-06-18 17:34:00,Tuesday,17,27.18,12.62,4.69901945188086,59.3,Uber Bus,Cash,3.6
Downtown,Fifth Settlement,Cairo,Cairo,2024-06-26 23:02:00,Wednesday,23,41.03,24.05,3.691345488970781,88.78,Uber Bus,Cash,4.3
Dokki,New Cairo,Giza,Cairo,2024-06-18 07:46:00,Tuesday,7,51.47,21.14,3.824962907482345,80.86,UberX,Cash,3.8
Ain Shams,Faisal,Cairo,Giza,2024-06-09 14:07:00,Sunday,14,23.56,12.99,5.025532847071927,65.28,Uber Comfort,Cash,4.0
Downtown,10th of Ramadan,Cairo,Sharqia,2024-06-18 23:49:00,Tuesday,23,9.94,6.26,3.348064884832469,20.96,UberX,Cash,4.6
Shorouk,Dokki,Cairo,Giza,2024-06-22 01:11:00,Saturday,1,25.65,15.91,5.315777373298934,84.57,UberX,Cash,3.7
Downtown,Sheikh Zayed,Cairo,Giza,2024-06-02 08:26:00,Sunday,8,42.42,27.6,4.36249183873148,120.4,UberX,Wallet,4.0
Downtown,Sheikh Zayed,Cairo,Giza,2024-06-11 01:47:00,Tuesday,1,27.44,18.17,3.2510803774439565,59.07,Uber Comfort,Cash,4.8
Obour,6th October,Qalyubia,Giza,2024-06-18 10:07:00,Tuesday,10,22.96,10.48,3.2705300317428043,34.28,Uber Scooter,Cash,3.6
Zamalek,Downtown,Cairo,Cairo,2024-06-25 12:33:00,Tuesday,12,33.13,19.11,5.292453248109598,101.14,Uber Bus,Cash,3.5
New Cairo,Heliopolis,Cairo,Cairo,2024-06-06 05:17:00,Thursday,5,36.94,14.58,3.3335636301318967,48.6,Uber Bus,Credit Card,3.9
New Cairo,Shubra,Cairo,Cairo,2024-06-17 10:07:00,Monday,10,34.46,13.38,4.363039794098715,58.38,Uber Scooter,Wallet,4.1
Faisal,Dokki,Giza,Giza,2024-06-14 19:49:00,Friday,19,49.91,23.71,5.068784891581768,120.18,Uber Scooter,Credit Card,3.8
Ain Shams,Fifth Settlement,Cairo,Cairo,2024-06-26 15:15:00,Wednesday,15,21.35,15.45,5.270754687613448,81.43,Uber Scooter,Cash,5.0
New Cairo,Ain Shams,Cairo,Cairo,2024-06-07 15:33:00,Friday,15,8.02,5.47,3.052805151633492,16.7,Uber Scooter,Wallet,4.6
6th October,Heliopolis,Giza,Cairo,2024-06-13 22:41:00,Thursday,22,5.77,3.52,5.182391950053114,18.24,Uber Comfort,Wallet,4.7
Zamalek,Faisal,Cairo,Giza,2024-06-27 01:13:00,Thursday,1,19.22,13.17,3.873210030764677,51.01,Uber Scooter,Credit Card,4.1
Rehab,Ain Shams,Cairo,Cairo,2024-06-29 19:24:00,Saturday,19,57.44,27.63,4.992667115965082,137.95,Uber Bus,Credit Card,4.4
Heliopolis,Haram,Cairo,Giza,2024-06-03 18:36:00,Monday,18,46.59,18.43,4.242951892431149,78.2,Uber Scooter,Cash,4.0
Sheikh Zayed,Rehab,Giza,Cairo,2024-06-19 00:56:00,Wednesday,0,22.72,15.05,3.50712644062643,52.78,Uber Bus,Wallet,4.7
Shorouk,Dokki,Cairo,Giza,2024-06-09 11:30:00,Sunday,11,32.78,18.05,4.395879539333017,79.35,Uber Bus,Wallet,4.0
Ain Shams,Nasr City,Cairo,Cairo,2024-06-26 00:25:00,Wednesday,0,20.67,14.48,4.49004130739143,65.02,Uber Comfort,Credit Card,4.7
Downtown,Faisal,Cairo,Giza,2024-06-12 14:29:00,Wednesday,14,65.43,29.21,4.646109066844161,135.71,Uber Comfort,Cash,3.6
Zamalek,Obour,Cairo,Qalyubia,2024-06-09 01:52:00,Sunday,1,12.86,9.02,3.74430154235608,33.77,Uber Comfort,Wallet,4.1
New Cairo,6th October,Cairo,Giza,2024-06-05 10:24:00,Wednesday,10,5.21,3.18,5.270790190395423,16.76,Uber Comfort,Credit Card,3.9
Fifth Settlement,Dokki,Cairo,Giza,2024-06-27 05:16:00,Thursday,5,34.78,13.23,5.105348642125684,67.54,Uber Bus,Cash,4.2
Nasr City,10th of Ramadan,Cairo,Sharqia,2024-06-14 23:48:00,Friday,23,48.72,26.87,5.12629709692828,137.74,Uber Bus,Cash,4.3
Sheikh Zayed,Rehab,Giza,Cairo,2024-06-07 02:35:00,Friday,2,59.83,21.05,4.079814162740137,85.88,UberX,Cash,4.6
